iter	Logloss
216	0.3001050708
217	0.2999831107
218	0.2997204612
219	0.2995204994
220	0.2993708036
221	0.2991711999
222	0.2990095779
223	0.2988978086
224	0.2987677509
225	0.2986106184
226	0.2981118157
227	0.2980243118
228	0.2979411597
229	0.2977882137
230	0.2977027755
231	0.2975081296
232	0.2973229033
233	0.2972072229
234	0.2971257509
235	0.2970261557
236	0.2968835383
237	0.2967487432
238	0.2965691081
239	0.2964980749
240	0.296435635
241	0.296226529
242	0.2960879054
243	0.2960134017
244	0.2959246584
245	0.2958301035
246	0.2956725028
247	0.2955713926
248	0.2953501402
249	0.2952482588
250	0.2951363243
251	0.2950306972
252	0.2949246568
253	0.2948412293
254	0.2947682405
255	0.2946327292
256	0.2944980442
257	0.2943729993
258	0.2942465772
259	0.2941770037
260	0.2940580182
261	0.2939641794
262	0.2938484991
263	0.2937235918
264	0.2934538087
265	0.2933700506
266	0.2932321156
267	0.2930818413
268	0.2929476521
269	0.2928350015
270	0.2926975622
271	0.2926057891
272	0.2925211772
273	0.2924449934
274	0.2922970879
275	0.2922006049
276	0.2919232751
277	0.2916528309
278	0.2915831473
279	0.2915091119
280	0.2913993257
281	0.2913212415
282	0.2911943787
283	0.2910303054
284	0.2909615307
285	0.2908396532
286	0.2904193203
287	0.2903061739
288	0.2900487576
289	0.289899888
290	0.2898018627
291	0.2896194183
292	0.2895519656
293	0.2894696397
294	0.2893736526
295	0.2892915471
296	0.2891566969
297	0.2890274654
298	0.2889026683
299	0.2885432605
300	0.2884407181
301	0.2883688035
302	0.2882316397
303	0.2881607441
304	0.288031733
305	0.2879782721
306	0.2878318814
307	0.287663236
308	0.287562236
309	0.2874310765
310	0.2872902219
311	0.2871563357
312	0.2869716052
313	0.2868473315
314	0.2866817433
315	0.2865534758
316	0.2864443782
317	0.2863199943
318	0.2862335646
319	0.2861009729
320	0.2859628175
321	0.2857731017
322	0.2855848182
323	0.2854464424
324	0.2852657056
325	0.2851855832
326	0.2851002277
327	0.2850290842
328	0.2849213913
329	0.2847853568
330	0.2846965583
331	0.2845601932
332	0.284301868
333	0.2841752255
334	0.2839909908
335	0.2837212077
336	0.2836164895
337	0.2835015252
338	0.2833039322
339	0.2831844509
340	0.2831142715
341	0.2829952309
342	0.2828684783
343	0.2827900635
344	0.2827051762
345	0.2825953625
346	0.2824933159
347	0.2823594296
348	0.2822142783
349	0.2821052634
350	0.2820251134
351	0.281925408
352	0.2818031173
353	0.2816876573
354	0.2815233912
355	0.2813476122
356	0.2812005053
357	0.2811160862
358	0.2808433009
359	0.2807180907
360	0.280593817
361	0.280521985
362	0.2804335722
363	0.2803695624
364	0.2802071967
365	0.2800912134
366	0.2799751475
367	0.2798639291
368	0.2797476152
369	0.2796989193
370	0.2795862962
371	0.2794965338
372	0.2794023645
373	0.2791322233
374	0.278959832
375	0.2788538743
376	0.2786995237
377	0.2785677032
378	0.2784540059
379	0.2783778222
380	0.278234048
381	0.278071104
382	0.2779622543
383	0.2778633751
384	0.2777383302
385	0.2776255969
386	0.277501571
387	0.2774504789
388	0.2773240017
389	0.2771838357
390	0.2770881515
391	0.2770089105
392	0.2768958742
393	0.2767770815
394	0.2766228962
395	0.2764981542
396	0.2763841264
397	0.2762439053
398	0.2760849825
399	0.2759892984
400	0.275810765
401	0.2756691117
402	0.2755674507
403	0.2754803874
404	0.2753550395
405	0.2751874407
406	0.2750294544
407	0.2749008013
408	0.274715823
409	0.2745302111
410	0.2743586461
411	0.2742814708
412	0.2742009352
413	0.2740347411
414	0.2738590172
415	0.2737699708
416	0.2736399957
417	0.2735136287
418	0.2734469748
419	0.2733322309
420	0.2732512822
421	0.2731627867
422	0.2730422588
423	0.2728996965
424	0.2728182245
425	0.2726717512
426	0.2724925017
427	0.272389436
428	0.2722775015
429	0.2721438632
430	0.2720027882
431	0.271832683
432	0.2717290389
433	0.2716098056
434	0.2715459059
435	0.2713523341
436	0.2712543364
437	0.2711857544
438	0.2710948627
439	0.2710241325
440	0.2707553134
441	0.2703983018
442	0.2703065562
443	0.2701921153
444	0.2700714221
445	0.2699535935
446	0.2697717274
447	0.2696679732
448	0.2695813506
449	0.2694699119
450	0.269288817
451	0.2691968236
452	0.2690353669
453	0.2689268202
454	0.2688010591
455	0.2686897856
456	0.2686071293
457	0.268486381
458	0.2683553868
459	0.2682091338
460	0.268080701
461	0.2679080619
462	0.267791693
463	0.2676609466
464	0.2674885003
465	0.2674009688
466	0.2672992803
467	0.267214145
468	0.2671643474
469	0.2670813054
470	0.2669736952
471	0.2668656167
472	0.2667411501
473	0.2666592374
474	0.2664557502
475	0.2662955329
476	0.2661368029
477	0.2660338474
478	0.2658704627
479	0.2657955459
480	0.2657311229
481	0.2656419114
482	0.2655607148
483	0.2654103303
484	0.2652928046
485	0.265168338
486	0.2650330196
487	0.2649667237
488	0.2649239771
489	0.2648702683
490	0.2647933685
491	0.2646250811
492	0.2644435731
493	0.2643767815
494	0.264235073
495	0.2641120938
496	0.264046459
497	0.2639837162
498	0.2639071743
499	0.2637909982
500	0.2637190285
501	0.26366543
502	0.2636075622
503	0.2635658622
504	0.2633281391
505	0.2632246878
506	0.2630839985
507	0.2629817315
508	0.2626985075
509	0.2625821661
510	0.262505156
511	0.2623807997
512	0.2623221607
513	0.2622320953
514	0.2620845753
515	0.2619260106
516	0.2618564096
517	0.2617598716
518	0.2616042815
519	0.2614877474
520	0.2613192396
521	0.2611952689
522	0.2610522384
523	0.2609951419
524	0.2609290388
525	0.2608365772
526	0.2607855952
527	0.26069407
528	0.2606603299
529	0.2605967057
530	0.2604863411
531	0.2603029327
532	0.2602621416
533	0.2601118398
534	0.259997206
535	0.2598353913
536	0.2596821699
537	0.2595777271
538	0.2594999458
539	0.2594351923
540	0.2593908758
541	0.2592122047
542	0.2590802465
543	0.258956799
544	0.2588319744
545	0.2587176987
546	0.2585783315
547	0.2584484114
548	0.258346833
549	0.258195457
550	0.2581181991
551	0.2579513164
552	0.2578930906
553	0.2578623527
554	0.2577539437
555	0.2576402464
556	0.2575625203
557	0.2574543867
558	0.2572423611
559	0.2570890296
560	0.2569206045
561	0.2568064666
562	0.2567045301
563	0.2566420352
564	0.2565757669
565	0.256410647
566	0.2562578663
567	0.2561320226
568	0.2560041407
569	0.255902039
570	0.2557313003
571	0.2556578158
572	0.2554822846
573	0.2553488941
574	0.255127504
575	0.255061098
576	0.2549667634
577	0.2548752657
578	0.2547923615
579	0.2546983299
580	0.2545862301
581	0.2545579711
582	0.2544592572
583	0.254339225
584	0.2542351678
585	0.2541579925
586	0.2541126017
587	0.2540186252
588	0.253898896
589	0.253762586
590	0.2536369902
591	0.253517867
592	0.2534005616
593	0.2532860932
594	0.2532473953
595	0.2530984706
596	0.2530211851
597	0.252897958
598	0.2527970958
599	0.2527070304
600	0.2525595104
601	0.2524415715
602	0.2523743667
603	0.2522642225
604	0.2521286286
605	0.251994164
606	0.2518176137
607	0.251697196
608	0.2516429089
609	0.2515985647
610	0.2515056624
611	0.2513950224
612	0.2512829502
613	0.2512425722
614	0.2510184829
615	0.2508944845
616	0.250772249
617	0.2506612509
618	0.2505833044
619	0.2504950293
620	0.250332278
621	0.2502943514
622	0.2502152756
623	0.2501189855
624	0.2500246234
625	0.2498719804
626	0.2497590819
627	0.2496470648
628	0.2495698344
629	0.2494428889
630	0.2494068903
631	0.2493327447
632	0.2492374461
633	0.2491761356
634	0.2490692414
635	0.2489341433
636	0.2488395608
637	0.2487053165
638	0.2486002127
639	0.248494558
640	0.2483879668
641	0.2482856723
642	0.2482105076
643	0.2480784943
644	0.2479787338
645	0.2478546804
646	0.2477275421
647	0.2475206947
648	0.2474028109
649	0.2473128832
650	0.2472191546
651	0.2471249302
652	0.2469478015
653	0.2469189916
654	0.2468051842
655	0.246700218
656	0.2465858873
657	0.2464573168
658	0.2463186657
659	0.2462222654
660	0.2461060617
661	0.2460572831
662	0.2459246363
663	0.2458303844
664	0.2457248399
665	0.2456385754
666	0.245543745
667	0.2454242913
668	0.2453280838
669	0.2452237236
670	0.2451185646
671	0.2449787842
672	0.2448791614
673	0.2448459446
674	0.2447353597
675	0.2446409425
676	0.2445615087
677	0.2444886851
678	0.2444022278
679	0.2442835729
680	0.2442225102
681	0.2441006877
682	0.2438936475
683	0.2437869736
684	0.2437097432
685	0.2436222669
686	0.2435318985
687	0.2434296866
688	0.243377658
689	0.243272141
690	0.2431940292
691	0.2431160827
692	0.2430379434
693	0.2428960146
694	0.242804875
695	0.2426728617
696	0.2425979449
697	0.2425395539
698	0.2424353038
699	0.2423168141
700	0.2421975256
701	0.2420922014
702	0.2419986656
703	0.2418897057
704	0.241803276
705	0.2417697011
706	0.2416807374
707	0.2415594108
708	0.2414652966
709	0.2413413258
710	0.24125104
711	0.2411356626
712	0.241051519
713	0.2409881151
714	0.2409072766
715	0.2407826999
716	0.2406853631
717	0.2405725197
718	0.240479397
719	0.2403902405
720	0.2403149106
721	0.2402235782
722	0.2401555471
723	0.2401227985
724	0.2400524814
725	0.2399760498
726	0.2398569816
727	0.2397717087
728	0.2396812301
729	0.2395986564
730	0.2395234366
731	0.2394589311
732	0.2393329772
733	0.2392517531
734	0.2391239814
735	0.2389280684
736	0.2387703575
737	0.2387165386
738	0.2386349014
739	0.2385219753
740	0.238459866
741	0.2383881717
742	0.2382708112
743	0.2381470333
744	0.2380459231
745	0.2379787183
746	0.2378663982
747	0.2377847885
748	0.2376653898
749	0.2375884349
750	0.2375154461
751	0.237410838
752	0.2373283744
753	0.237236684
754	0.2371665872
755	0.2370771277
756	0.2369144591
757	0.2368562884
758	0.2367145525
759	0.2366288388
760	0.2365935839
761	0.2365007091
762	0.2364040609
763	0.2362707255
764	0.2362097179
765	0.236153007
766	0.2360483989
767	0.2359475917
768	0.2358699757
769	0.2357782302
770	0.2356376235
771	0.2355294624
772	0.2354447127
773	0.2353144622
774	0.2351847074
775	0.2351096253
776	0.2349954874
777	0.2348693132
778	0.234732893
779	0.2345792034
780	0.2344880638
781	0.2342710254
782	0.2342198782
783	0.2340904814
784	0.2340075772
785	0.2338500866
786	0.2337633539
787	0.2336831764
788	0.2336220311
789	0.2335129886
790	0.2334380718
791	0.2333741446
792	0.233299999
793	0.2332047555
794	0.2331024886
795	0.2330040226
796	0.2329477248
797	0.2328744606
798	0.2327697974
799	0.2327046859
800	0.2326047601
801	0.2325779333
802	0.2325179448
803	0.2324170274
804	0.2322748508
805	0.2322009255
806	0.2321227862
807	0.2320201337
808	0.2319256614
809	0.2318972646
810	0.2318219071
811	0.2317229729
812	0.2316452467
813	0.2315161529
814	0.2314277676
815	0.2313197167
816	0.2312303123
817	0.231151209
818	0.2310540375
819	0.2309969272
820	0.2309456009
821	0.2308805858
822	0.2308207488
823	0.2306963649
824	0.2306397641
825	0.2305467654
826	0.2304121217
827	0.2303661525
828	0.2302900927
829	0.2302113888
830	0.2301231412
831	0.2300259421
832	0.2299221603
833	0.2298949479
834	0.2298331966
835	0.2296924384
836	0.2296577206
837	0.2295993295
838	0.2295186287
839	0.22942804
840	0.2293471188
841	0.2292205452
842	0.229135231
843	0.2290335838
844	0.2289317162
845	0.2288430004
846	0.2288156778
847	0.2287424549
848	0.2285805437
849	0.2285382102
850	0.2284464647
851	0.228386366
852	0.2282916458
853	0.2282099534
854	0.2281380664
855	0.2280227716
856	0.2279596845
857	0.2278666031
858	0.2277354988
859	0.2276461495
860	0.2275598023
861	0.2274878051
862	0.2274049559
863	0.227336374
864	0.2272333634
865	0.2271439315
866	0.2270682986
867	0.2269870193
868	0.2268997082
869	0.2268055389
870	0.2267247279
871	0.2266564765
872	0.2265956617
873	0.2265244219
874	0.2264928577
875	0.2264171559
876	0.2263715861
877	0.2262689198
878	0.2261999798
879	0.2260524323
880	0.2259582217
881	0.2258774795
882	0.2257895625
883	0.2257013975
884	0.2256103956
885	0.2255345424
886	0.2254819354
887	0.2254284883
888	0.2253338921
889	0.2252589477
890	0.2251838106
891	0.2250817915
892	0.2250342524
893	0.2249598038
894	0.224878442
895	0.2248053981
896	0.2247111462
897	0.2246189875
898	0.2245323649
899	0.2244108042
900	0.224353143
901	0.224297947
902	0.2242195322
903	0.2241383219
904	0.2240729762
905	0.2240126572
906	0.2239426155
907	0.223832127
908	0.223705154
909	0.2236231725
910	0.2235393455
911	0.2234476826
912	0.2233568736
913	0.2232938278
914	0.2232040102
915	0.223103024
916	0.2229791772
917	0.222902897
918	0.2228228297
919	0.2227739685
920	0.2227165415
921	0.2226260079
922	0.2225608688
923	0.222451606
924	0.2223697208
925	0.2222909893
926	0.2221663988
927	0.2220711002
928	0.2220236851
929	0.2219603501
930	0.2218493796
931	0.2217729341
932	0.2216593884
933	0.2215590494
934	0.2214823286
935	0.2213706557
936	0.2213226484
937	0.2212503206
938	0.2211943533
939	0.2211037784
940	0.2210577954
941	0.2209883184
942	0.2209223943
943	0.2208513611
944	0.2207420156
945	0.2206622513
946	0.2206368291
947	0.2205808894
948	0.2205646116
949	0.2204655947
950	0.2204134284
951	0.2203468295
952	0.2202611985
953	0.2202138522
954	0.2201102907
955	0.2200613745
956	0.219980894
957	0.2198659849
958	0.2197617348
959	0.2196908393
960	0.219618181
961	0.2195663865
962	0.2194743793
963	0.2194030293
964	0.2193276443
965	0.2192627532
966	0.2191890896
967	0.2191196125
968	0.2190090138
969	0.2188933059
970	0.2188536028
971	0.2188197525
972	0.2187621464
973	0.218678168
974	0.2185853208
975	0.218480272
976	0.2184181351
977	0.2183078807
978	0.2182921812
979	0.2182271248
980	0.2181607739
981	0.2180713006
982	0.218000047
983	0.2179520535
984	0.2178741483
985	0.2176985482
986	0.2176644363
987	0.2175952347
988	0.2174975399
989	0.2174016904
990	0.2173440568
991	0.217272817
992	0.2171836605
993	0.2171033728
994	0.2170328629
995	0.2169600394
996	0.2168871057
997	0.2168667928
998	0.2167769064
999	0.2167362392
